Sample in Buffer,Sample in Window,TRIGGER,reg_valid_bytes_ad[15:5],U_reg_aes/reg_crypt_noncein_reg[127]_1[127:0],U_reg_aes/reg_crypt_textin_buffer_msg[127:0],control[4:0],write_data[7:0],reg_valid_bytes_msg[15:5]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX
54,54,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
55,55,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
56,56,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
57,57,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
58,58,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
59,59,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
60,60,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
61,61,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
62,62,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
63,63,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
64,64,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
65,65,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
66,66,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
67,67,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
68,68,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
69,69,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
70,70,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
71,71,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
72,72,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
73,73,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
74,74,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
75,75,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
76,76,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
77,77,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
78,78,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
79,79,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
80,80,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
81,81,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
82,82,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
83,83,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
84,84,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
85,85,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
86,86,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
87,87,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
88,88,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
89,89,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
90,90,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
91,91,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
92,92,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
93,93,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
94,94,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
