Sample in Buffer,Sample in Window,TRIGGER,mealy_fsm/current_state[4:0],crypt_noncein[127:0],crypt_key[127:0],U_reg_aes/reg_crypt_tagout[127:0],tag2[63:0],crypt_start,extra_padding_ff,ready_tag,u_ascon_top/last_cycle,u_ascon_top/sel_padding,u_ascon_top/sel_xor_signal
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
30,30,0,"IDLE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7b8959675be5b01e,0,0,0,0,0,0
31,31,0,"IDLE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7b8959675be5b01e,0,0,0,0,0,0
32,32,1,"IDLE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7b8959675be5b01e,1,0,0,0,0,0
33,33,0,"INIT_LOAD",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7b8959675be5b01e,0,0,0,0,0,0
34,34,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,99149611931e9c1b,0,0,0,0,0,0
35,35,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,afdd54534e37686f,0,0,0,0,0,0
36,36,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,ce66735a451bcfbe,0,0,0,0,0,0
37,37,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,5e489fc6615d7d21,0,0,0,0,0,0
38,38,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,70a8247411e467eb,0,0,0,0,0,0
39,39,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,dd1ba69ad8648380,0,0,0,0,0,0
40,40,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,def5689163148011,0,0,0,0,0,0
41,41,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,2b9ad3a94da1401f,0,0,0,0,0,0
42,42,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,ddd76d45ad7d971f,0,0,0,0,0,0
43,43,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,da065bbe1efce443,0,0,0,0,0,0
44,44,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,ea991f65f012e18e,0,0,0,0,0,0
45,45,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,c26362769fa75999,0,0,0,0,0,0
46,46,0,"INIT_ROUND_SHIFT_LAST",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,07f08b82d2558f79,0,0,0,1,0,0
47,47,0,"INIT_ROUND_DIFFUSE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,119e1a9b19180e90,0,0,0,0,0,0
48,48,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,73b3aa2e62aafb0d,0,0,0,0,0,0
49,49,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,019fc8a3b18bb9f3,0,0,0,0,0,0
50,50,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,bcdf792986e53cf8,0,0,0,0,0,0
51,51,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,27427befae6286ec,0,0,0,0,0,0
52,52,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,21840fe4b6ea9804,0,0,0,0,0,0
53,53,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,2cc716349adeb87f,0,0,0,0,0,0
54,54,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,19421a53da0268fe,0,0,0,0,0,0
55,55,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,84a40e62474d1bbc,0,0,0,0,0,0
