Sample in Buffer,Sample in Window,TRIGGER,U_reg_aes/reg_crypt_textin_buffer_msg[127:0],crypt_stateout[319:0],crypt_noncein[127:0],U_reg_aes/reg_crypt_textin_buffer_msg_crypt[127:0],u_ascon_top/mealy_fsm/current_state[4:0],crypt_key[127:0],u_ascon_top/ciphertext_valid,u_ascon_top/crypt_start
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
24,24,0,7856341211ccbbaa3412cdab003002f1,00000000000000000000000000000000000000000000000000000000000000000000000000000000,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"IDLE",0f0e0d0c0b0a09080706050403020100,0,0
25,25,0,7856341211ccbbaa3412cdab003002f1,00000000000000000000000000000000000000000000000000000000000000000000000000000000,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"IDLE",0f0e0d0c0b0a09080706050403020100,0,0
26,26,0,7856341211ccbbaa3412cdab003002f1,00000000000000000000000000000000000000000000000000000000000000000000000000000000,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"IDLE",0f0e0d0c0b0a09080706050403020100,0,0
27,27,0,7856341211ccbbaa3412cdab003002f1,00000000000000000000000000000000000000000000000000000000000000000000000000000000,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"IDLE",0f0e0d0c0b0a09080706050403020100,0,0
28,28,0,7856341211ccbbaa3412cdab003002f1,00000000000000000000000000000000000000000000000000000000000000000000000000000000,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"IDLE",0f0e0d0c0b0a09080706050403020100,0,0
29,29,0,7856341211ccbbaa3412cdab003002f1,00000000000000000000000000000000000000000000000000000000000000000000000000000000,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"IDLE",0f0e0d0c0b0a09080706050403020100,0,0
30,30,0,7856341211ccbbaa3412cdab003002f1,00000000000000000000000000000000000000000000000000000000000000000000000000000000,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"IDLE",0f0e0d0c0b0a09080706050403020100,0,1
31,31,0,7856341211ccbbaa3412cdab003002f1,00000000000000000000000000000000000000000000000000000000000000000000000000000000,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_LOAD",0f0e0d0c0b0a09080706050403020100,0,0
32,32,1,7856341211ccbbaa3412cdab003002f1,000102030405060708090a0b0c0d0e0f0f0e0d0c0b0a0908070605040302010000001000808c0001,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
33,33,0,7856341211ccbbaa3412cdab003002f1,000004080c101418c02024282c3034383c3c3834302c2824c01c1814100c0804c000004002023000,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
34,34,0,7856341211ccbbaa3412cdab003002f1,0000001020304050c3008090a0b0c0d03cf0f0e0d0c0b0a0c300706050403020c3000001000808c0,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
35,35,0,7856341211ccbbaa3412cdab003002f1,200000004080c101c70c02024282c3031cf3c3c3834302c2e70c01c1814100c0db0c000004002023,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
36,36,0,7856341211ccbbaa3412cdab003002f1,90800000010203040f1c3008090a0b0c7073cf0f0e0d0c0b9f9c3007060504037f6c300000100080,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
37,37,0,7856341211ccbbaa3412cdab003002f1,824200000004080c003c70c02024282cfdc1cf3c3c383430827e70c01c181410c1fdb0c000004002,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
38,38,0,7856341211ccbbaa3412cdab003002f1,0a090800000010208400f1c3008090a0f7f7073cf0f0e0d08609f9c3007060508b07f6c300000100,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
39,39,0,7856341211ccbbaa3412cdab003002f1,2c28242000000040021003c70c020242dfdfdc1cf3c3c3832e1827e70c01c1811e2c1fdb0c000004,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
40,40,0,7856341211ccbbaa3412cdab003002f1,c0b0a090800000010808400f1c3008097f7f7f7073cf0f0ec8b8609f9c3007067878b07f6c300000,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
41,41,0,7856341211ccbbaa3412cdab003002f1,4302c28242000000002021003c70c020fdfdfdfdc1cf3c3c4322e1827e70c01cc1e1e2c1fdb0c000,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
42,42,0,7856341211ccbbaa3412cdab003002f1,0d0c0b0a090800001000808400f1c300f7f7f7f7f7073cf01d0c8b8609f9c3001707878b07f6c300,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
43,43,0,7856341211ccbbaa3412cdab003002f1,3834302c28242000004002021003c70cdfdfdfdfdfdc1cf33874322e1827e70c1c5c1e1e2c1fdb0c,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
44,44,0,7856341211ccbbaa3412cdab003002f1,f0e0d0c0b0a090800001000808400f1c7f7f7f7f7f7f7073f0e1d0c8b8609f9c7071707878b07f6c,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT_LAST",0f0e0d0c0b0a09080706050403020100,0,0
45,45,0,7856341211ccbbaa3412cdab003002f1,0f0e0d0c0b0a090800001000808400f1f7f7f7f7f7f7f7070f0e1d0c8b8609f907071707878b07f6,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_DIFFUSE",0f0e0d0c0b0a09080706050403020100,0,0
46,46,0,7856341211ccbbaa3412cdab003002f1,99159412971b9a1c3c38900488a461b313d3d3d3d3d3d3586e69f97b25a85a0b1f49a887151a877f,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
47,47,0,7856341211ccbbaa3412cdab003002f1,326456504a5c6e684cf0e24012229186404f4f4f4f4f4f4d0db9a7e5ec96a1680c7d26a21c546a1d,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
48,48,0,7856341211ccbbaa3412cdab003002f1,e0c99159412971b9c533c38900488a46e5013d3d3d3d3d3dc036e69f97b25a850031f49a887151a8,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
49,49,0,7856341211ccbbaa3412cdab003002f1,9f8326456504a5c63714cf0e24012229079404f4f4f4f4f46700db9a7e5ec96ad000c7d26a21c546,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
50,50,0,7856341211ccbbaa3412cdab003002f1,9a7e0c991594129764dc533c38900488c41e5013d3d3d3d36d9c036e69f97b255740031f49a88715,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
51,51,0,7856341211ccbbaa3412cdab003002f1,ee69f8326456504a1d93714cf0e24012fb1079404f4f4f4fa9b6700db9a7e5ec495d000c7d26a21c,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
52,52,0,7856341211ccbbaa3412cdab003002f1,17b9a7e0c9915941c4764dc533c389009fec41e5013d3d3d7ea6d9c036e69f974525740031f49a88,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
53,53,0,7856341211ccbbaa3412cdab003002f1,e85ee69f83264565a711d93714cf0e247a7fb1079404f4f4f5fa9b6700db9a7ea91495d000c7d26a,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
54,54,0,7856341211ccbbaa3412cdab003002f1,c3a17b9a7e0c9915fe9c4764dc533c3851e9fec41e5013d3a7d7ea6d9c036e6996a4525740031f49,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
55,55,0,7856341211ccbbaa3412cdab003002f1,5f0e85ee69f832648ffa711d93714cf05147a7fb1079404fda9f5fa9b6700db9da5a91495d000c7d,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
56,56,0,7856341211ccbbaa3412cdab003002f1,c57c3a17b9a7e0c9863fe9c4764dc533d1451e9fec41e501576a7d7ea6d9c036fb696a4525740031,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
57,57,0,7856341211ccbbaa3412cdab003002f1,3315f0e85ee69f835e18ffa711d937140345147a7fb107949d5da9f5fa9b67000beda5a91495d000,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
58,58,0,7856341211ccbbaa3412cdab003002f1,d0cc57c3a17b9a7e2d7863fe9c4764dc340d1451e9fec41e9a7576a7d7ea6d9cac2fb696a4525740,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT_LAST",0f0e0d0c0b0a09080706050403020100,0,0
59,59,0,7856341211ccbbaa3412cdab003002f1,cd0cc57c3a17b9a7c2d7863fe9c4764d0340d1451e9fec41f9a7576a7d7ea6d95ac2fb696a452574,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_DIFFUSE",0f0e0d0c0b0a09080706050403020100,0,0
60,60,0,7856341211ccbbaa3412cdab003002f1,3c8bd72a118510b66a81d2b5a521f3b286edbaa285aa65d0e06711742578deb85a3e27749907beaa,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
61,61,0,7856341211ccbbaa3412cdab003002f1,88f22f5ca846144281aa074ad69487ce7e1bb6ea8a16a997f3819c45d095e37a7968f89dd2641efa,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
